Movie,"Release
Date",Distributor,"MPAA
Rating",Domestic Gross,"Inflation-Adjusted
Gross",Genre
Bon Voyage!,1962-05-17,Walt Disney,Not Rated,9230769,104043955,Comedy
Alfie,1966-08-24,Paramount Pictures,PG,18871300,136600509,Comedy
The Two of Us,1968-02-19,Rialto Pictures,Not Rated,50710,305422,Comedy
Candy,1968-12-17,Sony Pictures,R,16408286,98825477,Comedy
Bananas,1971-04-28,MGM,PG-13,0,0,Comedy
The Lord's of Flatbush,1974-05-01,Sony Pictures,PG,0,0,Comedy
National Lampoon's Animal House,1978-07-28,Universal,R,141600000,477446158,Comedy
The Life of Brian,1979-08-17,Warner Bros.,Not Rated,20008693,25683954,Comedy
Roadie,1980-06-13,United Artists,R,4226370,2939719,Comedy
Stripes,1981-06-26,Columbia,R,85300000,236527903,Comedy
The Last American Virgin,1982-08-04,Cannon,R,5829781,15645231,Comedy
National Lampoon's Class Reunion,1982-10-29,20th Century Fox,R,16550727,26982056,Comedy
They Call Me Bruce,1982-11-12,Artists Releasing Corporation,PG,12925437,33237280,Comedy
Zelig,1983-07-15,Orion Pictures,PG,11798616,29552721,Comedy
The Man Who Wasn't There,1983-08-12,USA Films,R,2315505,5799789,Comedy
A Christmas Story,1983-11-18,MGM,PG,20605209,41861042,Comedy
Weekend Pass,1984-02-03,Crown,R,21058033,49448776,Comedy
Ghostbusters,1984-06-08,Sony Pictures,PG,238632124,518616036,Comedy
The Brother from Another Planet,1984-09-07,Cinecom,R,3700000,7430171,Comedy
National Lampoon's European Vacation,1985-07-26,Warner Bros.,PG-13,49400000,109714608,Comedy
Running Scared,1986-06-27,MGM,R,38500726,72434208,Comedy
Brighton Beach Memoirs,1986-12-25,Universal,PG-13,11957943,6609201,Comedy
La ley del deseo,1987-04-03,Cinevista,NC-17,0,0,Comedy
Surrender,1987-10-09,Warner Bros.,R,5711976,8033346,Comedy
Mujeres al borde de un ataque de nervios,1988-11-11,Sony Pictures Classics,R,7179000,13781581,Comedy
Dirty Rotten Scoundrels,1988-12-14,Orion Pictures,PG,42039000,70763406,Comedy
